Date,Open,High,Low,Close,Adj Close,Volume,Name
01 June 2020,338.200012,348,336.350006,339,335.994843,1691066,ICICBANK
02 June 2020,337.100006,350,332.450012,348.5,345.410614,1659289,ICICBANK
03 June 2020,356.299988,372.950012,353.700012,356.649994,353.488373,2132167,ICICBANK
04 June 2020,355.399994,363,345.450012,347.850006,344.766388,1831626,ICICBANK
05 June 2020,349.899994,360,347.100006,357.25,354.083069,1199877,ICICBANK
08 June 2020,365.100006,373.850006,353.299988,360.100006,356.907806,1895667,ICICBANK
09 June 2020,360.75,369.100006,345.200012,348.75,345.658417,1459958,ICICBANK
10 June 2020,349,356.700012,345.399994,353.399994,350.267212,1229912,ICICBANK
11 June 2020,352.200012,354.200012,340.100006,341.149994,338.125763,1232322,ICICBANK
12 June 2020,323.200012,346.100006,323.200012,344.25,341.198303,1572761,ICICBANK
15 June 2020,341.75,341.75,325.399994,330.899994,327.966644,1871666,ICICBANK
16 June 2020,341.600006,347.850006,326.549988,342.799988,339.761139,2010363,ICICBANK
17 June 2020,338.5,350.850006,335.899994,342.149994,339.116913,1394244,ICICBANK
18 June 2020,340,354.549988,337.25,352,348.879608,1978976,ICICBANK
19 June 2020,351.5,365.200012,349.25,363.899994,360.674103,2655225,ICICBANK
22 June 2020,366,375.25,365.350006,367.799988,364.539551,2563347,ICICBANK
23 June 2020,370.5,378.200012,364.100006,376.049988,372.71637,1801167,ICICBANK
24 June 2020,379.149994,380,345,348.399994,345.311523,2071990,ICICBANK
25 June 2020,340.049988,355.549988,338.549988,351.149994,348.037109,3128306,ICICBANK
26 June 2020,356.399994,358.399994,346.100006,349,345.906189,1858142,ICICBANK
29 June 2020,346,346,338.5,343.149994,340.108063,1086806,ICICBANK
30 June 2020,346,354.350006,346,351.450012,348.334503,1727279,ICICBANK
01 July 2020,355,365.75,351.600006,363.950012,360.723694,2175826,ICICBANK
02 July 2020,365.100006,370.75,361.299988,362.700012,359.484772,1163245,ICICBANK
03 July 2020,365,368.399994,359.850006,361,357.799805,798737,ICICBANK
06 July 2020,368,368,360.649994,361.799988,358.592712,1050689,ICICBANK
07 July 2020,362.200012,377.600006,362.200012,375.700012,372.369537,1497019,ICICBANK
08 July 2020,378.700012,378.950012,367.600006,368.899994,365.629791,1637900,ICICBANK
09 July 2020,373.799988,376.049988,365.350006,370.549988,367.265137,1059889,ICICBANK
10 July 2020,364.850006,368.200012,359,360.350006,357.155579,1306864,ICICBANK
13 July 2020,364.600006,367,352.5,353.549988,350.415833,911380,ICICBANK
14 July 2020,352,352.399994,340.799988,345.600006,342.536346,932508,ICICBANK
15 July 2020,348,356.5,343.799988,345.75,342.685028,1294879,ICICBANK
16 July 2020,347.100006,348.450012,341,344.75,341.693878,707338,ICICBANK
17 July 2020,345.5,356,345.5,353.850006,350.713226,1376596,ICICBANK
20 July 2020,358.100006,366.149994,355.5,362.850006,359.633423,2214407,ICICBANK
21 July 2020,370.549988,379.899994,370,378.850006,375.491577,1598168,ICICBANK
22 July 2020,385.799988,389.399994,375.399994,381.100006,377.721619,2827065,ICICBANK
23 July 2020,382.700012,395.5,378.850006,392.299988,388.822357,2529698,ICICBANK
24 July 2020,388.200012,389,372.149994,381.850006,378.464996,2437511,ICICBANK
27 July 2020,388.799988,388.799988,356.649994,358.5,355.321991,3633641,ICICBANK
28 July 2020,361.399994,362.850006,343.299988,351.899994,348.780487,3179955,ICICBANK
29 July 2020,353.100006,357.700012,348.600006,350.950012,347.838928,1632205,ICICBANK
30 July 2020,352.649994,354.450012,340.5,345.049988,341.99118,1203636,ICICBANK
31 July 2020,345.549988,352.899994,341.950012,346.899994,343.824799,1920230,ICICBANK
03 August 2020,347,349.299988,340.600006,343.399994,340.355835,2216436,ICICBANK
04 August 2020,346.399994,353,344,351.049988,347.938019,1756798,ICICBANK
05 August 2020,354.200012,359.850006,350.850006,352.200012,349.07785,2414666,ICICBANK
06 August 2020,352.5,363.649994,348.700012,359.149994,355.966217,1479588,ICICBANK
07 August 2020,359.200012,359.5,351,357.850006,354.677765,1146425,ICICBANK
10 August 2020,359,364.950012,357.549988,363.600006,360.37677,602687,ICICBANK
